Accession number	Publication number
BD091704	WO 2000075342-A/4
BD091705	WO 2000075342-A/5
BD091706	WO 2000075342-A/6
BD091707	WO 2000075342-A/7
BD091708	WO 2000075342-A/8
BD091709	WO 2000075342-A/9
BD091710	WO 2000075342-A/10
BD091711	WO 2000075342-A/11
BD091712	WO 2000075342-A/12
BD091713	WO 2000075342-A/13
BD091714	WO 2001012793-A/1
BD091715	WO 2001012793-A/2
BD091716	WO 2001012793-A/3
BD091717	WO 2001012793-A/4
BD091718	WO 2001012793-A/5
BD091719	WO 2001012793-A/6
BD091720	WO 2001012793-A/7
BD091721	WO 2001012793-A/8
BD091722	WO 2001012793-A/9
BD091723	WO 2001012793-A/10
BD091724	WO 2001012793-A/11
BD091725	WO 2001012793-A/12
BD091726	WO 2001012793-A/13
BD091727	WO 2001005987-A/1
BD091728	WO 2001005987-A/2
BD091729	WO 2001005987-A/3
BD091730	WO 2001005987-A/4
BD091731	WO 2001005987-A/5
BD091732	WO 2001005987-A/6
BD091733	WO 2001005987-A/7
BD091734	WO 2001005987-A/8
BD091735	WO 2001005987-A/9
BD091736	WO 2001005987-A/10
BD091737	WO 2001005987-A/11
BD091738	WO 2001005987-A/12
BD091739	WO 2001005987-A/13
BD091740	WO 2001005987-A/14
BD091741	WO 2000073435-A/1
BD091742	WO 2000073435-A/2
BD091743	WO 2000073435-A/3
BD091744	WO 2000073435-A/4
BD091745	WO 2000073435-A/5
BD091746	WO 2000073435-A/6
BD091747	WO 2000073435-A/7
BD091748	WO 2000073435-A/8
BD091749	WO 2000073439-A/1
BD091750	WO 2000073439-A/2
BD091751	WO 2000073439-A/3
BD091752	WO 2000073439-A/4
BD091753	WO 2000073439-A/5
BD091754	WO 2000073439-A/6
BD091755	WO 2000073439-A/7
BD091756	WO 2000073439-A/8
BD091757	WO 2000073439-A/9
BD091758	WO 2000073439-A/10
BD091759	WO 2000073439-A/11
BD091760	WO 2000073439-A/12
BD091761	WO 2000073439-A/13
BD091762	WO 2000073439-A/14
BD091763	WO 2000073439-A/15
BD091764	WO 2000073439-A/16
BD091765	WO 2000073439-A/17
BD091766	WO 2000073439-A/18
BD091767	WO 2000073439-A/19
BD091768	WO 2000073439-A/20
BD091769	WO 2000073439-A/21
BD091770	WO 2000073439-A/22
BD091771	WO 2000073439-A/23
BD091772	WO 2000073440-A/1
BD091773	WO 2000073440-A/2
BD091774	WO 2000073440-A/3
BD091775	WO 2000073440-A/4
BD091776	WO 2000073440-A/5
BD091777	WO 2000073440-A/6
BD091778	WO 2000073440-A/7
BD091779	WO 2000073440-A/8
BD091780	WO 2000073440-A/9
BD091781	WO 2000073440-A/10
BD091782	WO 2000073440-A/11
BD091783	WO 2000073440-A/12
BD091784	WO 2000073440-A/13
BD091785	WO 2000073440-A/14
BD091786	WO 2000073440-A/15
BD091787	WO 2000073440-A/16
BD091788	WO 2000073440-A/17
BD091789	WO 2000073440-A/18
BD091790	WO 2000073440-A/19
BD091791	WO 2000073440-A/20
BD011754	WO 2000070055-A/1
BD011755	WO 2000070055-A/2
BD011756	WO 2000070055-A/3
BD011757	WO 2000070055-A/4
BD011758	WO 2000070055-A/5
BD011759	WO 2000070055-A/6
BD011760	WO 2000070055-A/7
BD011761	WO 2000070055-A/8
BD011762	WO 2000070055-A/9
BD011763	WO 2000070055-A/10
BD011764	WO 2000070055-A/11
BD011765	WO 2000070055-A/12
BD011766	WO 2000070055-A/13
BD011767	WO 2000070055-A/14
BD011768	WO 2000070055-A/15
BD011769	WO 2000070055-A/16
BD011770	WO 2000070055-A/17
BD011771	WO 2000070055-A/18
BD011772	WO 2000070055-A/19
BD011773	WO 2000070055-A/20
BD011774	WO 2000070055-A/21
BD011775	WO 2000070055-A/22
BD011776	WO 2000070055-A/23
BD011777	WO 2000070055-A/24
BD011778	WO 2000070055-A/25
BD011779	WO 2000070055-A/26
BD011780	WO 2000070055-A/27
BD011781	WO 2000070055-A/28
BD011782	WO 2000070055-A/29
BD011783	WO 2000070055-A/30
BD011784	WO 2000070055-A/31
BD011785	WO 2000070055-A/32
BD011786	WO 2000070055-A/33
BD011787	WO 2000070055-A/34
BD011788	WO 2000070055-A/35
BD011789	WO 2000070055-A/36
BD011790	WO 2000070055-A/37
BD011791	WO 2000070055-A/38
BD011792	WO 2000070055-A/39
BD011793	WO 2000070055-A/40
BD011794	WO 2000070055-A/41
BD011795	WO 2000070055-A/42
BD011796	WO 2000070055-A/43
BD011797	WO 2000070055-A/44
BD011798	WO 2000070055-A/45
BD011799	WO 2000070055-A/46
BD011800	WO 2000070055-A/47
BD011801	WO 2000070055-A/48
BD011802	WO 2000070055-A/49
BD011803	WO 2000070055-A/50
BD011804	WO 2000070055-A/51
BD011805	WO 2000070055-A/52
BD011806	WO 2000071151-A/1
BD011807	WO 2000071151-A/2
BD011808	WO 2000071151-A/3
BD011809	WO 2000071151-A/4
BD011810	WO 2000071151-A/5
BD011811	WO 2000071151-A/6
BD011812	WO 2000071151-A/7
BD011813	WO 2000071151-A/8
BD011814	WO 2000071151-A/9
BD011815	WO 2000071151-A/10
BD011816	WO 2000071151-A/11
BD011817	WO 2000071151-A/12
BD011818	WO 2000071151-A/13
BD011819	WO 2000071151-A/14
BD011820	WO 2000071151-A/15
BD011821	WO 2000071151-A/16
BD011822	WO 2000071151-A/17
BD011823	WO 2000071151-A/18
BD011824	WO 2000071151-A/19
BD011825	WO 2000071151-A/20
BD011826	WO 2000071151-A/21
BD011827	WO 2000071151-A/22
BD011828	WO 2000071151-A/23
BD011829	WO 2000071151-A/24
BD011830	WO 2000071151-A/25
BD011831	WO 2000071151-A/26
BD011832	WO 2000071151-A/27
BD011833	WO 2000071151-A/28
BD011834	WO 2000071151-A/29
BD011835	WO 2000071151-A/30
BD011836	WO 2000071151-A/31
BD011837	WO 2000071151-A/32
BD011838	WO 2000071151-A/33
BD011839	WO 2000071151-A/34
BD011840	WO 2000071151-A/35
BD011841	WO 2000071151-A/36
BD011842	WO 2000071151-A/37
BD011843	WO 2000071151-A/38
BD011844	WO 2000071151-A/39
BD011845	WO 2000071151-A/40
BD011846	WO 2000071151-A/41
BD011847	WO 2000071151-A/42
BD011848	WO 2000071151-A/43
BD011849	WO 2000071151-A/44
BD011850	WO 2000071151-A/45
BD011851	WO 2000071151-A/46
BD011852	WO 2000071151-A/47
BD011853	WO 2000071151-A/48
BD011854	WO 2000071151-A/49
BD091792	WO 2000075307-A/1
BD091793	WO 2000075307-A/2
BD091794	WO 2000075307-A/3
BD091795	WO 2000075307-A/4
BD091796	WO 2000075307-A/5
BD091797	WO 2000075307-A/6
BD091798	WO 2000075307-A/7
BD091799	WO 2000075307-A/8
BD091800	WO 2000075307-A/9
BD091801	WO 2000075307-A/10
BD091802	WO 2000075307-A/11
BD091803	WO 2000075307-A/12
BD091804	WO 2000075307-A/13
BD091805	WO 2000075307-A/14
BD091806	WO 2000075307-A/15
BD091807	WO 2000075307-A/16
BD091808	WO 2000072670-A/1
BD091809	WO 2000072670-A/2
BD091810	WO 2000072670-A/3
BD091811	WO 2000072670-A/4
BD091812	WO 2000072670-A/5
BD091813	WO 2000072670-A/6
BD091814	WO 2000072670-A/7
BD091815	WO 2000072670-A/8
BD091816	WO 2000072670-A/9
BD091817	WO 2000072670-A/10
BD091818	WO 2000072670-A/11
BD091819	WO 2000072670-A/12
BD091820	WO 2000072670-A/13
BD091821	WO 2000072670-A/14
BD091822	WO 2000072670-A/15
BD091823	WO 2000072670-A/16
BD091824	WO 2000072670-A/17
BD091825	WO 2000072670-A/18
BD091826	WO 2000072670-A/19
BD091827	WO 2000072670-A/20
BD091828	WO 2000072670-A/21
BD091829	WO 2000073442-A/1
BD091830	WO 2000073442-A/2
BD091831	WO 2000073442-A/3
BD091832	WO 2000073442-A/4
BD091833	WO 2000073442-A/5
BD091834	WO 2000073442-A/6
BD091835	WO 2000073442-A/7
BD091836	WO 2000073442-A/8
BD091837	WO 2000073442-A/9
BD091838	WO 2000073442-A/10
BD091839	WO 2000073442-A/11
BD091840	WO 2000073442-A/12
BD091841	WO 2000073442-A/13
BD091842	WO 2000073442-A/14
BD091843	WO 2000073442-A/15
BD091844	WO 2000073442-A/16
BD091845	WO 2000073442-A/17
BD091846	WO 2000073442-A/18
BD091847	WO 2000073442-A/19
BD091848	WO 2000073442-A/20
BD091849	WO 2000073442-A/21
BD091850	WO 2000073442-A/22
BD091851	WO 2000073442-A/23
BD091852	WO 2000073442-A/24
BD091853	WO 2000073442-A/25
BD091854	WO 2000073442-A/26
BD091855	WO 2000073442-A/27
BD091856	WO 2000073442-A/28
BD091857	WO 2000073442-A/29
BD091858	WO 2000075313-A/1
BD091859	WO 2000075313-A/2
BD091860	WO 2000075313-A/3
BD091861	WO 2000075313-A/4
BD091862	WO 2000075313-A/5
BD091863	WO 2000075313-A/6
BD091864	WO 2000075314-A/1
BD091865	WO 2000075314-A/2
BD091866	WO 2000075314-A/3
BD091867	WO 2000075314-A/4
BD091868	WO 2000075314-A/5
BD091869	WO 2000075314-A/6
BD091870	WO 2000075314-A/7
BD091871	WO 2000075314-A/8
BD091872	WO 2000075314-A/9
BD091873	WO 2000075314-A/10
BD091874	WO 2000075314-A/11
BD091875	WO 2000075314-A/12
BD091876	WO 2000075314-A/13
BD091877	WO 2000075314-A/14
BD091878	WO 2000075314-A/15
BD091879	WO 2000075314-A/16
BD091880	WO 2000075314-A/17
BD091881	WO 2000073423-A/1
BD091882	WO 2000073423-A/2
BD091883	WO 2000073423-A/3
BD091884	WO 2000073423-A/4
BD091885	WO 2000073423-A/5
BD091886	WO 2000073423-A/6
